课程名称,时间,地点,教师,其他,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15
,33,2526121000662001,劳动经济学01班,21000662,劳动经济学,2,经济学院,专业核心课,"宋扬,宋扬,宋扬",2024经济学（中国特色经济学方向）拔尖班1班,20,0,"1: 11-13周, 单双周,星期三, 3-4节, 教三3307; 2: 1-4,6-10,14-16周, 单双周,星期三, 3-4节, 教三3307; 3: 14周, 单双周,星期五, 9-10节, 明商0208; 4: 5周, 单双周,星期六, 3-4节, 教三3307; 5: 8周, 单双周,星期五, 9-10节, 明商0208; 6: 9周, 单双周,星期五, 9-10节, 明商0208;",
,34,2526121000687001,领导学01班,21000687,领导学,2,劳动人事学院,个性化选修,冯雯,"2023人力资源管理类[1-5]班,2023人力资源管理留学生班",82,10,"1: 1-16周, 单双周,星期一, 3-4节, 教二2109;",
,35,2526121000710001,贸易经济学 23贸经必修,21000710,贸易经济学,3,商学院,专业核心课,刘向东,"商学院2023级本科[1-6]班,商学院2023级智能会计方向班",25,5,"1: 1-16周, 单双周,星期四, 7-9节, 明商0301;",
,36,2526121000767001,排球1,21000767,排球,1,体育部,公共体育,朱凯迪,"2025理科试验班[1-2]班,2025“金融学—数学”创新人才班1班,2025级“金融科技”创新人才班[1-2]班,2025数学拔尖班1班,2025“智农”创新人才班1班,2025图灵计......",30,,"1: 1-16周, 单双周,星期一, 1-2节, 室外排球场;",
,37,2526121000767002,排球2,21000767,排球,1,体育部,公共体育,于永晖,"2025生态经济拔尖人才班1班,2025“国民经济—数据科学”创新人才班1班,2025化学拔尖人才实验班1班,2025严济慈物理学拔尖人才班1班,2025数据计算及应用（智能科学）拔尖人才......",24,0,"1: 1-16周, 单双周,星期一, 3-4节, 室外排球场;",
,38,2526121000767003,排球3,21000767,排球,1,体育部,公共体育,朱凯迪,"2025生态经济拔尖人才班1班,2025“国民经济—数据科学”创新人才班1班,2025化学拔尖人才实验班1班,2025严济慈物理学拔尖人才班1班,2025数据计算及应用（智能科学）拔尖人才......",24,0,"1: 1-16周, 单双周,星期一, 3-4节, 室外排球场;",
,39,2526121000767004,排球4,21000767,排球,1,体育部,公共体育,朱凯迪,"2025中国古典学拔尖人才班1班,2024法学-劳关（全球劳动治理）实验班1班,2024人力资源管理类[1-5]班,商学院2024级本科[1-6]班,2024求是书院社会科学试验班（管理学......",32,0,"1: 1-4,6-16周, 单双周,星期二, 1-2节, 室外排球场; 2: 3周, 单双周,星期日, 1-2节, 室外排球场;",
,40,2526121000767005,排球5,21000767,排球,1,体育部,公共体育,于永晖,"2025人文科学试验班[1-2]班,2024农业经济管理类1班,2024马克思主义理论1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024中国古典学1班,202421......",22,0,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 室外排球场; 2: 3周, 单双周,星期日, 3-4节, 室外排球场;",
,41,2526121000767006,排球6,21000767,排球,1,体育部,公共体育,朱凯迪,"2025人文科学试验班[1-2]班,2024农业经济管理类1班,2024马克思主义理论1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024中国古典学1班,202421......",24,0,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 室外排球场; 2: 3周, 单双周,星期日, 3-4节, 室外排球场;",
,42,2526121000767007,排球7,21000767,排球,1,体育部,公共体育,朱凯迪,"2024古典学拔尖班1班,2024哲学强基班1班,2024明德书院人文科学试验班[1-2]班,2024人文科学试验班1班,2024汉语言文学（古文字学方向）强基班1班,2024宗教学1班,......",28,,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 室外排球场; 2: 3周, 单双周,星期日, 7-8节, 室外排球场;",
,43,2526121000767008,排球8,21000767,排球,1,体育部,公共体育,马江涛,"2025历史政治学拔尖人才班1班,2025国际新闻传播战略人才班1班,2025“传播学-公共管理”双学士学位复合型人才培养项目1班,2025新闻传播学类[1-2]班（留学生）,2024级本......",30,,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 室外排球场; 2: 5周, 单双周,星期六, 3-4节, 室外排球场;",
,44,2526121000773001,乒乓球1,21000773,乒乓球,1,体育部,公共体育,侯力,"2025中国古典学拔尖人才班1班,2024法学-劳关（全球劳动治理）实验班1班,2024人力资源管理类[1-5]班,商学院2024级本科[1-6]班,2024求是书院社会科学试验班（管理学......",22,,"1: 1-4,6-16周, 单双周,星期二, 1-2节, 世纪馆北201; 2: 3周, 单双周,星期日, 1-2节, 世纪馆北201;",
,45,2526121000773002,乒乓球2,21000773,乒乓球,1,体育部,公共体育,侯力,"2025人文科学试验班[1-2]班,2024农业经济管理类1班,2024马克思主义理论1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024中国古典学1班,202421......",22,,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 世纪馆北201; 2: 3周, 单双周,星期日, 3-4节, 世纪馆北201;",
,46,2526121000773003,乒乓球3,21000773,乒乓球,1,体育部,公共体育,侯力,"2024古典学拔尖班1班,2024哲学强基班1班,2024明德书院人文科学试验班[1-2]班,2024人文科学试验班1班,2024汉语言文学（古文字学方向）强基班1班,2024宗教学1班,......",22,,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 世纪馆北201; 2: 3周, 单双周,星期日, 7-8节, 世纪馆北201;",
,47,2526121000773004,乒乓球4,21000773,乒乓球,1,体育部,公共体育,侯力,"2025涉外法治战略人才班1班,2024经济学（中国特色经济学方向）拔尖班1班,2025“涉外法治”创新人才班1班,2025社会科学基础理论拔尖人才班1班,2024国民经济管理1班,202......",20,0,"1: 1-4,6-16周, 单双周,星期三, 1-2节, 世纪馆北201; 2: 5周, 单双周,星期六, 1-2节, 世纪馆北201;",
,48,2526121000773005,乒乓球5,21000773,乒乓球,1,体育部,公共体育,侯力,"2025历史政治学拔尖人才班1班,2025国际新闻传播战略人才班1班,2025“传播学-公共管理”双学士学位复合型人才培养项目1班,2025新闻传播学类[1-2]班（留学生）,2024级本......",18,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 世纪馆北201; 2: 5周, 单双周,星期六, 3-4节, 世纪馆北201;",
,49,2526121000773006,乒乓球6,21000773,乒乓球,1,体育部,公共体育,张岩,"2024明德环境“经济学-科学”实验班1班,2024心理学拔尖班1班,2024“金融学-数学”双学士学位1班,2024资源与环境经济学1班,2024“财政学-数学”双学士学位1班,2024......",22,,"1: 1-16周, 单双周,星期四, 1-2节, 世纪馆北201;",
,50,2526121000773007,乒乓球7,21000773,乒乓球,1,体育部,公共体育,张岩,"2024理科试验班1班,2024数学拔尖班1班,2024人工智能拔尖班[1-2]班,2024信息管理与信息系统拔尖人才实验班1班,2024“经济学-数学”双学士学位1班,2024级理科试验......",22,0,"1: 1-16周, 单双周,星期四, 3-4节, 世纪馆北201;",
,1,2526121000773008,乒乓球8,21000773,乒乓球,1,体育部,公共体育,张岩,"2025中意美三学位管理学战略人才班1班,2025“新媒体与数据管理”创新人才班1班,商学院2025级本科[1-6]班,2025公共管理类（行政、土地、城市）[1-3]班,2025“资源与......",22,,"1: 1-16周, 单双周,星期五, 1-2节, 世纪馆北201;",
,2,2526121000773009,乒乓球9,21000773,乒乓球,1,体育部,公共体育,张岩,"2025“智农”创新人才班1班,2025“统计与国土治理”创新人才班1班,2025人力资源管理类[1-4]班,2025公共管理类（行政、土地、城市）[1-3]班,2025级求是书院社会科学......",22,,"1: 1-16周, 单双周,星期五, 3-4节, 世纪馆北201;",
,3,2526121000775001,普通化学01班,21000775,普通化学,4,化学与生命资源学院,专业核心课,金朝霞,2025理科试验班（化学与生命资源拔尖班）1班,50,5,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 教三3408; 2: 1-8,10-16周, 单双周,星期四, 7-8节, 教三3408; 3: 3周, 单双周,星期日, 7-8节, 教三3408; 4: 9周, 单双周,星期四, 7-8节, 教三3408;",
,4,2526121000827001,人力资源管理01班,21000827,人力资源管理,2,公共管理学院,个性化选修,"刘颖,刘昕","2023行政管理[1-2]班,2023“传播学-公共管理”双学士学位复合型人才培养项目1班,2023“传播学-公共管理”双学士学位复合型人才培养项目班",32,5,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 立德601; 2: 5周, 单双周,星期六, 3-4节, 立德601;",
,5,2526121000838001,日本概况01班,21000838,日本概况,2,外国语学院,专业核心课,钱昕怡,"2024全球治理与国际事务实验班1班,2024日语1班",25,1,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 明国0306; 2: 5周, 单双周,星期六, 3-4节, 明国0306;",
,6,2526121000885002,社会保障学02班,21000885,社会保障学,3,劳动人事学院,部类基础,郭瑜,2024人力资源管理类[2-3]班,40,5,"1: 1-16周, 单双周,星期一, 7-9节, 立德601;",
,7,2526121000885003,社会保障学03班,21000885,社会保障学,3,劳动人事学院,部类基础,鲁全,"2024人力资源管理类5班,2025人力资源管理类2班",30,5,"1: 1-4,6-16周, 单双周,星期三, 1-3节, 立德703; 2: 5周, 单双周,星期六, 1-3节, 立德703;",
,8,2526121000885004,社会保障学04班,21000885,社会保障学,3,劳动人事学院,部类基础,杨俊,"2024法学-劳关（全球劳动治理）实验班1班,2024法学-劳动关系（全球劳动治理）实验班1班,2024人力资源管理类4班",45,5,"1: 1-16周, 单双周,星期一, 11-13节, 教三3302;",
,9,2526121000885001,社会保障学01班,21000885,社会保障学,3,劳动人事学院,部类基础,鲁全,2024人力资源管理类1班,25,5,"1: 1-16周, 单双周,星期一, 7-9节, 立德706;",
,10,2526121000920001,社区工作01班,21000920,社区工作,3,社会学院,专业核心课,王子彧,2023社会学类[1-4]班,15,0,"1: 1-16周, 单双周,星期四, 7-9节, 立德508;",
,11,2526121000954001,食品经济学01班,21000954,食品经济学,2,农业与农村发展学院,个性化选修,张曼,"2023农业经济管理类1班,2023应用经济-农村区域发展管理双学士学位复合型人才培养项目1班,2023应用经济—农村区域发展管理双学士学位班",37,5,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 立德601; 2: 3周, 单双周,星期日, 3-4节, 立德601;",
,12,2526121000972001,世界上古史01班,21000972,世界上古史,3,历史学院,专业核心课,徐晓旭,"2023历史学类强基计划（世界史）1班,2024历史学类强基计划（世界史）1班,2023世界史1班,2024世界史1班",20,5,"1: 1-16周, 单双周,星期五, 7-9节, 教二2201;",
,13,2526121000976001,世界现代史01班,21000976,世界现代史,3,历史学院,专业核心课,王皖强,"2023历史学类强基计划（世界史）1班,2022世界史1班,2023世界史1班",10,5,"1: 1-4,6-16周, 单双周,星期二, 7-9节, 教二2201; 2: 3周, 单双周,星期日, 7-9节, 教二2201;",
,14,2526121000988001,市场营销学【24商法必修】,21000988,市场营销学,2,商学院,专业核心课,王霞,"2024“工商管理-法学”双学士学位复合型人才培养项目1班,商学院2024级商法双学位班",30,0,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 明国0307; 2: 3周, 单双周,星期日, 7-8节, 明国0307;",
,15,2526121001004002,数据库系统概论02班,21001004,数据库系统概论,4,信息学院,专业核心课,陈晋川,"2023信息管理与信息系统拔尖人才实验班1班,2023金融学-数据科学与大数据技术（工学）实验班1班,2023人工智能拔尖班[1-2]班,2023理科试验班1班,2023级理科试验班（计算......",50,5,"1: 1周, 单双周,星期二, 3-4节, 立德1002; 2: 1-4,6-16周, 单双周,星期二, 11-14节, 理工配楼二层; 3: 1-16周, 单双周,星期四, 1-2节, 立德1002; 4: 2-4,6-16周, 单双周,星期二, 3-4节, 立德1002; 5: 2周, 单双周,星期五, 13-14节, 教三3204; 6: 3周, 单双周,星期日, 3-4节, 立德1002; 7: 3周, 单双周,星期日, 11-14节, 理工配楼二层;",
,16,2526121001004003,数据库系统概论03班,21001004,数据库系统概论,4,信息学院,专业核心课,"陈红,卢卫","2023信息管理与信息系统拔尖人才实验班1班,2023金融学-数据科学与大数据技术（工学）实验班1班,2023人工智能拔尖班[1-2]班,2023理科试验班1班,2023级理科试验班（计算......",50,5,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 立德906; 2: 1-4,6-16周, 单双周,星期二, 11-14节, 理工配楼二层; 3: 1-16周, 单双周,星期四, 1-2节, 立德906; 4: 3周, 单双周,星期日, 3-4节, 立德906; 5: 3周, 单双周,星期日, 11-14节, 理工配楼二层;",
,17,2526121001004001,数据库系统概论01班,21001004,数据库系统概论,4,信息学院,专业核心课,"杜小勇,吴云乘","2023信息管理与信息系统拔尖人才实验班1班,2023金融学-数据科学与大数据技术（工学）实验班1班,2023人工智能拔尖班[1-2]班,2023理科试验班1班,2023级理科试验班（计算......",50,5,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 立德909; 2: 1-4,6-16周, 单双周,星期二, 11-14节, 理工配楼二层; 3: 1-16周, 单双周,星期四, 1-2节, 立德909; 4: 3周, 单双周,星期日, 3-4节, 立德909; 5: 3周, 单双周,星期日, 11-14节, 理工配楼二层;",
,18,2526121001007001,数理逻辑01班,21001007,数理逻辑,3,哲学院,通识核心课,"裘江杰,余俊伟","2024哲学强基班1班,2023哲学专业强基计划1班,2023哲学1班,2024哲学1班",30,10,"1: 1-4,6-16周, 单双周,星期二, 11-13节, 立德412; 2: 3周, 单双周,星期日, 11-13节, 立德412;",
,19,2526121001016002,数学分析Ⅲ02班,21001016,数学分析Ⅲ,5,数学学院,学科基础,韩丽涛,"2024统计学（统计与数据科学）拔尖班1班,2024理科试验班1班,2024“经济学-数学”双学士学位1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024“应用经济-......",90,5,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 求是0220; 2: 1-16周, 单双周,星期五, 1-3节, 求是0220; 3: 3周, 单双周,星期日, 7-8节, 求是0220;",
,20,2526121001016003,数学分析Ⅲ03班,21001016,数学分析Ⅲ,5,数学学院,学科基础,欧耀彬,"2024统计学（统计与数据科学）拔尖班1班,2024理科试验班1班,2024“经济学-数学”双学士学位1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024“应用经济-......",90,5,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 求是0224; 2: 1-16周, 单双周,星期五, 1-3节, 求是0224; 3: 3周, 单双周,星期日, 7-8节, 求是0224;",
,21,2526121001016001,数学分析Ⅲ01班,21001016,数学分析Ⅲ,5,数学学院,学科基础,柯媛元,"2024统计学（统计与数据科学）拔尖班1班,2024理科试验班1班,2024“经济学-数学”双学士学位1班,2024“统计-公共管理”双学士学位复合型人才培养项目1班,2024“应用经济-......",90,5,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 求是0120; 2: 1-16周, 单双周,星期五, 1-3节, 求是0120; 3: 3周, 单双周,星期日, 7-8节, 求是0120;",
,22,2526121001016004,数学分析Ⅲ01班,21001016,数学分析Ⅲ,5,统计学院,专业核心课,张原,"2024统计学（统计与数据科学）拔尖班1班,2024经济统计学[1-2]班,2024数据科学与大数据技术（理学）1班,2024应用统计学[1-2]班,2024统计学1班,2024“应用经济......",66,12,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 求是0324; 2: 1-16周, 单双周,星期五, 1-3节, 求是0324; 3: 3周, 单双周,星期日, 7-8节, 求是0324;",
